date,adsStarted,activeStarted,inactiveStarted,pageCount,topPages,topTags,sampleAds
2026-04-17,47,15,32,5,Go Arrow(14); Arrows GO - escape(12); Arrows GO GO(10); Arrows GO - puzzle game(8),arrow_pin(47); emoji_heavy(46); relax(46); puzzle_core(35); brand_arrows(33); challenge(28),1476899300646704|3107334756323825|1321587356450539|1338446124791306|1971165986850069|2021631518463645|2200029004152166|2525178934619129|26002549429417123|26922666794018047
2026-04-18,35,13,22,4,Arrows GO - escape(13); Go Arrow(11); Arrows GO GO(9); Arrow Go(2),arrow_pin(35); emoji_heavy(35); relax(35); puzzle_core(34); challenge(26); urgency(26),1479211846976669|840152235793584|2086610128947799|1975266353345506|1273604728279291|1508583740794269|1738548663777181|2068443340684545|3419093214905502|34779648208345271
2026-04-19,36,1,35,4,Arrows GO GO(25); Arrows GO - puzzle game(7); Arrows GO！(2); Go Arrow(2),arrow_pin(35); emoji_heavy(34); relax(34); brand_arrows(28); puzzle_core(20); urgency(9),1008254518430274|1275958517494517|1239731301481275|1439318987389642|800760092761717|1604960703948778|1924421744868635|1735583120736864|4363333140607960|2965021680357801
2026-04-20,10,0,10,1,Arrows GO GO(10),arrow_pin(10); brand_arrows(10); emoji_heavy(10); relax(10); puzzle_core(2),2197916264327020|1502294418162675|1691868278496789|1615990432968100|861395093707288|1947571829458285|947058214714690|1823095798361434|1482387900041479|1280483503475589
2026-04-21,32,30,2,2,Arrows GO！(30); Arrows GO - puzzle game(2),arrow_pin(32); brand_arrows(32); emoji_heavy(31); puzzle_core(31); relax(31); urgency(30),1005683375477329|1308970204419395|1506716177520567|921259184012546|2108377949985654|3953900994910445|2648278392233438|2724798137903632|2011807703023220|793731113538971
2026-04-24,2,0,2,1,Arrow Go(2),arrow_pin(2); challenge(2); puzzle_core(2); relax(2); urgency(2); emoji_heavy(1),1871282893542792|971906965828330
2026-04-27,9,0,9,3,Arrows GO - puzzle game(5); Go Arrow(3); Arrows GO GO(1),arrow_pin(9); emoji_heavy(9); relax(9); puzzle_core(5); brand_arrows(4); challenge(3),2379768822507490|873074051858264|1438821640844283|1488383339611852|1881208532835649|2765022863831181|959189173515016|1287755809443451|810444755466444
2026-04-28,2,0,2,1,Arrows GO - puzzle game(2),arrow_pin(2); brand_arrows(2); emoji_heavy(2); relax(2),908168342273107|1491846852350042
2026-04-30,118,110,8,3,Arrows GO！(115); Arrow Go(2); Arrows GO GO(1),arrow_pin(118); emoji_heavy(118); puzzle_core(118); relax(118); challenge(115); urgency(115),1631309558106533|1637150097525685|942641438594165|1265833919034613|1407156118118394|2081262639097081|2469374690156169|3196559940733565|3206304679562219|950306324376437
2026-05-01,24,24,0,1,Arrows GO！(24),arrow_pin(24); brand_arrows(24); challenge(24); emoji_heavy(24); puzzle_core(24); relax(24),1433584975198304|2423479938157904|967762472619474|813340648123190|1302657575323789|992346826639225|1273863574933443|1739110450789867|2014741432771305|966898546333396
2026-05-02,3,3,0,1,Arrows GO！(3),arrow_pin(3); brand_arrows(3); challenge(3); emoji_heavy(3); puzzle_core(3); relax(3),3536685699815536|953945457377972|1649266426278848
2026-05-06,43,37,6,3,Go Arrow(37); Arrows GO - puzzle game(4); Arrows GO！(2),arrow_pin(43); emoji_heavy(43); puzzle_core(43); relax(43); brand_arrows(39); challenge(39),1299172448984913|1530249155266741|957032090303634|3834635916667925|965373835902610|1614241993021986|1474585347375339|1006536588393558|1084585137230455|1190136896462649
2026-05-07,73,72,1,2,Go Arrow(72); Arrows GO - puzzle game(1),uncategorized(70); arrow_pin(3); brand_arrows(3); emoji_heavy(1); puzzle_core(1); relax(1),1592146655192121|1612554469854768|1770370703925000|2250686625752696|27184127717858177|991089873303200|1001994545565065|1011148621235423|1168857698646093|1253742623193455
2026-05-08,78,77,1,2,Arrows GO！(42); Go Arrow(36),arrow_pin(42); challenge(42); emoji_heavy(42); puzzle_core(42); relax(42); urgency(42),1497968555338418|1499087824895685|1906225957449433|2080827839145915|2510744569344367|847164128430302|918469731173460|948328651147601|1005689595352634|1008204474872488
2026-05-09,123,97,26,3,Go Arrow(78); Arrows GO GO(26); Arrows GO！(19),arrow_pin(69); brand_arrows(69); emoji_heavy(69); relax(69); uncategorized(54); challenge(43),1516330266946040|937095485993589|1635752590970571|2999714103567110|1735895570730937|990051120169489|1321535880041502|1585183750278654|26515701041434550|1882111982496920
2026-05-10,13,12,1,2,Go Arrow(9); Arrows GO！(4),uncategorized(8); arrow_pin(5); brand_arrows(4); challenge(4); emoji_heavy(4); puzzle_core(4),2451798332003434|1006867275103207|1839797597389898|35500428506238073|4398307437077896|825552393958695|850602698081493|863005360156391|951969984290209|979489917901411
