pageId,pageName,tag,count,share
1003176282885386,Arrows GO GO,relax,96,0.814
1003176282885386,Arrows GO GO,challenge,96,0.814
1003176282885386,Arrows GO GO,puzzle_core,96,0.814
1003176282885386,Arrows GO GO,arrow_pin,96,0.814
1003176282885386,Arrows GO GO,urgency,96,0.814
1003176282885386,Arrows GO GO,emoji_heavy,96,0.814
1003176282885386,Arrows GO GO,uncategorized,22,0.186
1029066410292901,Arrows GO - puzzle game,urgency,65,1.000
1029066410292901,Arrows GO - puzzle game,emoji_heavy,65,1.000
1029066410292901,Arrows GO - puzzle game,arrow_pin,56,0.862
1029066410292901,Arrows GO - puzzle game,relax,52,0.800
1029066410292901,Arrows GO - puzzle game,challenge,52,0.800
1029066410292901,Arrows GO - puzzle game,puzzle_core,52,0.800
1083595128159871,Go Arrow,uncategorized,82,0.532
1083595128159871,Go Arrow,puzzle_core,70,0.455
1083595128159871,Go Arrow,relax,69,0.448
1083595128159871,Go Arrow,emoji_heavy,69,0.448
1083595128159871,Go Arrow,challenge,63,0.409
1083595128159871,Go Arrow,urgency,62,0.403
1083595128159871,Go Arrow,arrow_pin,46,0.299
1094680553722830,Arrow Go,arrow_pin,125,0.969
1094680553722830,Arrow Go,puzzle_core,124,0.961
1094680553722830,Arrow Go,relax,121,0.938
1094680553722830,Arrow Go,emoji_heavy,120,0.930
1094680553722830,Arrow Go,challenge,72,0.558
1094680553722830,Arrow Go,urgency,69,0.535
1094680553722830,Arrow Go,uncategorized,4,0.031
899629066577253,Arrows GO！,puzzle_core,166,0.976
899629066577253,Arrows GO！,emoji_heavy,163,0.959
899629066577253,Arrows GO！,relax,160,0.941
899629066577253,Arrows GO！,challenge,135,0.794
899629066577253,Arrows GO！,urgency,131,0.771
899629066577253,Arrows GO！,arrow_pin,122,0.718
899629066577253,Arrows GO！,uncategorized,4,0.024
993669333838225,Arrows GO - escape,relax,57,1.000
993669333838225,Arrows GO - escape,challenge,57,1.000
993669333838225,Arrows GO - escape,puzzle_core,57,1.000
993669333838225,Arrows GO - escape,arrow_pin,57,1.000
993669333838225,Arrows GO - escape,urgency,57,1.000
993669333838225,Arrows GO - escape,emoji_heavy,57,1.000
