pageId,pageName,ads,datedAds,activeAds,inactiveAds,videoAds,imageAds,firstStart,lastStart,topPhase,topTags,topBodies
1083595128159871,Go Amaze,4211,4211,4131,80,4138,4211,2026-03-19,2026-07-03,Amaze GO,emoji_heavy(2510); urgency(2459); puzzle_core(2392); relax(2386); challenge(2244); uncategorized(1689),"🏹 Find Your Flow with Arrows Go!(1072) || 🏹 Find Your Flow with Amaze GO! 🪐(1042) || 🧩 Tap, clear, and relax with Arrows Go! 🌟✨(105) || 🏹 Finde deinen Flow mit Amaze GO! 🪐(74)"
899629066577253,Arrows GO！,3927,3927,3825,102,3786,3927,2026-03-20,2026-07-03,Amaze GO,emoji_heavy(3462); puzzle_core(3444); relax(3326); urgency(3225); challenge(3140); brand_amaze(1742),"🏹 Find Your Flow with Amaze GO! 🪐(1049) || 🏹 Find Your Flow with Arrows Go!(1015) || 🏹 Find Your Flow with Amaze Go!(583) || 🧩 Tap, clear, and relax with Arrows Go! 🌟✨(518)"
1094680553722830,Arrow Go,724,724,663,61,718,724,2026-03-17,2026-07-03,Arrows GO,puzzle_core(523); relax(520); emoji_heavy(519); arrow_pin(389); challenge(354); urgency(351),"🏹 Find Your Flow with Arrows Go!(192) || 🧩 Tap, clear, and relax with Arrows Go! 🌟✨(180) || 🏹 Find Your Flow with Amaze GO! 🪐(135) || 🚦 Take a logic break and tap your stress away! 🎯(12)"
1003176282885386,Arrows GO GO,422,422,73,349,132,134,2026-03-19,2026-07-03,Arrows GO,arrow_pin(326); emoji_heavy(326); relax(326); brand_arrows(261); puzzle_core(206); urgency(123),"🧩 Tap, clear, and relax with Arrows Go! 🌟✨(174) || 🏹 Find Your Flow with Arrows Go!(146) || 🧩 Toque, limpe e relaxe com Arrows Go! 🌟✨(6)"
1029066410292901,Arrows GO - puzzle game,135,135,0,135,56,65,2026-03-19,2026-05-19,Arrows GO,emoji_heavy(135); arrow_pin(107); relax(99); urgency(88); puzzle_core(72); challenge(52),"🧩 Tap, clear, and relax with Arrows Go! 🌟✨(60) || 🏹 Find Your Flow with Arrows Go!(39) || 🧩タップで消してリラックス！🌟✨(28) || 🧩 Нажимайте, очищайте и расслабляйтесь с Arrows Go! 🌟✨(8)"
993669333838225,Arrows GO - escape,63,63,0,63,6,57,2026-03-21,2026-04-18,Arrows GO,arrow_pin(63); challenge(63); emoji_heavy(63); puzzle_core(63); relax(63); urgency(63),"🧩 Tap, clear, and relax with Arrows Go! 🌟✨(63)"
