category,reason,occurrence_count,kind,sha256,source_representative,output_file,clip_top,clip_margin,clip_arrows,clip_other_gameplay,clip_live_action,clip_non_game,vision_faces,vision_humans
01_arrows,arrow_maze_or_clip,1,video,f3733bc41aff46d7f266f76d1571c6634efa447f267acc03755a6e455e189feb,page_899629066577253/videos/ad_2133784734141819_asset_2127315664725790_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2133784734141819__sha_f3733bc41aff__ad_2133784734141819_asset_2127315664725790_hd.mp4,arrows,0.700702577829361,0.8154880404472351,0.11478546261787415,0.020062191411852837,0.049664273858070374,0,0
01_arrows,arrow_maze_or_clip,1,video,939e88308166a07c65a5a0d7897972a77b6604680268108d1773d0c3d6a28985,page_899629066577253/videos/ad_2135105017418905_asset_27309903635312696_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2135105017418905__sha_939e88308166__ad_2135105017418905_asset_27309903635312696_hd.mp4,arrows,0.4996786266565323,0.6982499957084656,0.1985713690519333,0.03465473651885986,0.06852388381958008,0,0
01_arrows,arrow_maze_or_clip,1,video,f77eb88e8dc727bada9c3f953b5b17e7db289f285f4f5326b9e48c82cf3bfd30,page_899629066577253/videos/ad_2135855486961566_asset_2266234567115830_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2135855486961566__sha_f77eb88e8dc7__ad_2135855486961566_asset_2266234567115830_hd.mp4,arrows,0.5954896807670593,0.7566866278648376,0.16119694709777832,0.024973277002573013,0.05714314430952072,0,0
01_arrows,arrow_maze_or_clip,1,video,fde9ce090b100c8e5039f08432e3d55f3ccbc84e211fffd5a912e6f259fb0875,page_899629066577253/videos/ad_2138614050039482_asset_3894241877372471_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2138614050039482__sha_fde9ce090b10__ad_2138614050039482_asset_3894241877372471_hd.mp4,arrows,0.43144576251506805,0.6452165842056274,0.2137708216905594,0.053027041256427765,0.08798550069332123,0,0
01_arrows,arrow_maze_or_clip,1,video,ecb00d32eb2dbec006f5aaf6089f955db442acafa24e594b6c3a87831eb56bab,page_899629066577253/videos/ad_2140566696734805_asset_1266329248915168_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2140566696734805__sha_ecb00d32eb2d__ad_2140566696734805_asset_1266329248915168_hd.mp4,arrows,0.5395819991827011,0.7107904553413391,0.171208456158638,0.03113848716020584,0.08686254173517227,0,0
01_arrows,arrow_maze_or_clip,1,video,6bf3eb0889832870c192d06ef1368860bcdab6b08156345adacd4e4d30d8d665,page_899629066577253/videos/ad_2151781495391070_asset_1905699123436873_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2151781495391070__sha_6bf3eb088983__ad_2151781495391070_asset_1905699123436873_hd.mp4,arrows,0.5617084056138992,0.7326276898384094,0.1709192842245102,0.02402397431433201,0.07242901623249054,0,0
01_arrows,arrow_maze_or_clip,1,video,ae308cac612690f63db6a779fae42d927762f23301fed88e9da19ceabf1da23c,page_899629066577253/videos/ad_2152655655485591_asset_1377986304092395_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2152655655485591__sha_ae308cac6126__ad_2152655655485591_asset_1377986304092395_hd.mp4,arrows,0.674299567937851,0.8025320172309875,0.1282324492931366,0.019252318888902664,0.04998322203755379,0,0
01_arrows,arrow_maze_or_clip,1,video,2ac0dd255884d3193b97d81eec1918c485b2cc7360f84eb81410bb9168b2e057,page_899629066577253/videos/ad_2155563385841146_asset_1610288163404375_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2155563385841146__sha_2ac0dd255884__ad_2155563385841146_asset_1610288163404375_hd.mp4,arrows,0.5365897864103317,0.7066380977630615,0.1700483113527298,0.028831684961915016,0.09448187053203583,0,0
01_arrows,arrow_maze_or_clip,1,video,11bcc0d52989e33e5ce80dbabdd02a71478bea714425cf00f83b6245af6287f3,page_899629066577253/videos/ad_2157441274825913_asset_974821818798302_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2157441274825913__sha_11bcc0d52989__ad_2157441274825913_asset_974821818798302_hd.mp4,arrows,0.5938553065061569,0.7395613789558411,0.14570607244968414,0.030212096869945526,0.08452039211988449,0,0
01_arrows,arrow_maze_or_clip,1,video,10ddf166a8b52b2b0f0860231ca18eb6529ac4b227a55a92c0faa6a8d65e2f84,page_899629066577253/videos/ad_2159867877908112_asset_1700150401300414_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2159867877908112__sha_10ddf166a8b5__ad_2159867877908112_asset_1700150401300414_hd.mp4,arrows,0.4048541337251663,0.5909761786460876,0.16003966331481934,0.18612204492092133,0.06286215782165527,0,0
01_arrows,arrow_maze_or_clip,1,video,a1f991b642ff1361fd138c1f39a5b868fbfa1d5ae9fac2aa5a9f1f062ca0611f,page_899629066577253/videos/ad_2162904274302548_asset_2450396275462020_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2162904274302548__sha_a1f991b642ff__ad_2162904274302548_asset_2450396275462020_hd.mp4,arrows,0.5997803509235382,0.7429996728897095,0.14321932196617126,0.03354376554489136,0.08023723214864731,0,0
