pageId,names,sampledAds,activeAds,inactiveAds,videoAds,imageAds,uniqueCreativeKeys,uniqueBodies,earliestStart,latestStart,avgInactiveRunDays,avgActiveRunDays,maxCollationCount,topLandingDomains,topCopyTags,nameWindows
899629066577253,Arrows GO！ / Amaze GO！,170,68,102,127,170,132,6,2026-03-20,2026-07-03,10.6,29.9,39,play.google.com(147) / apps.apple.com(12) / app.appsflyer.com(8) / itunes.apple.com(3),puzzle_core(166) / emoji_heavy(163) / relax(160) / challenge(135) / urgency(131),Arrows GO！: 137条/37活跃/2026-03-20~2026-07-03；Amaze GO！: 33条/31活跃/2026-07-02~2026-07-03
1083595128159871,Go Arrow / Go Amaze,154,74,80,131,154,122,5,2026-03-19,2026-07-03,11.6,16.2,24,play.google.com(126) / app.appsflyer.com(18) / apps.apple.com(7) / itunes.apple.com(3),uncategorized(82) / puzzle_core(70) / emoji_heavy(69) / relax(69) / challenge(63),Go Arrow: 107条/43活跃/2026-03-19~2026-07-03；Go Amaze: 47条/31活跃/2026-06-09~2026-07-03
1094680553722830,Arrow Go / Amaze Go GO！,129,68,61,128,129,97,4,2026-03-17,2026-07-03,13.9,26.1,14,play.google.com(122) / itunes.apple.com(4) / app.appsflyer.com(2) / apps.apple.com(1),arrow_pin(125) / puzzle_core(124) / relax(121) / emoji_heavy(120) / challenge(72),Arrow Go: 127条/68活跃/2026-03-17~2026-07-03；Amaze Go GO！: 2条/0活跃/2026-06-29~2026-06-29
1003176282885386,Arrows GO GO,118,57,61,116,118,66,2,2026-03-19,2026-07-03,13.0,6.1,18,play.google.com(96) / app.appsflyer.com(22),arrow_pin(96) / challenge(96) / emoji_heavy(96) / puzzle_core(96) / relax(96),Arrows GO GO: 118条/57活跃/2026-03-19~2026-07-03
1029066410292901,Arrows GO - puzzle game,65,0,65,56,65,31,4,2026-03-19,2026-05-19,13.7,0.0,8,play.google.com(65),emoji_heavy(65) / urgency(65) / arrow_pin(56) / challenge(52) / puzzle_core(52),Arrows GO - puzzle game: 65条/0活跃/2026-03-19~2026-05-19
993669333838225,Arrows GO - escape,57,0,57,6,57,38,1,2026-03-21,2026-04-18,11.6,0.0,2,play.google.com(57),arrow_pin(57) / challenge(57) / emoji_heavy(57) / puzzle_core(57) / relax(57),Arrows GO - escape: 57条/0活跃/2026-03-21~2026-04-18
